Filename,Analytic,prep,family,swear,Comma,Dash,cttr,rttr
c,83.17,12.92,1.57,0,5.87,1.83,11.93,8.43
c,97.03,14.44,1.53,0,5.25,2.19,11.52,8.15
c,89.16,14.81,0.49,0,4.3,1.48,15.42,10.9
c,89.46,13.96,0.7,0,1.92,1.75,10.19,7.2
c,96.06,14.53,0.48,0,4.12,4.12,11.8,8.34
c,71.77,12.7,0.13,0,3.93,3.8,9.91,7.01
c,94.95,12.52,0.19,0,4.55,1.71,12.69,8.97
c,85.91,12.61,0.33,0,3.7,1.52,14.71,10.4
c,97.99,13.22,0,0,5.99,2.99,11.39,8.05
c,94.06,14.26,0,0,4.62,0.96,10.84,7.67
c,96.61,15.57,0,0,5.76,0.85,15.38,10.88
c,97.76,16.04,0,0,6.83,2.9,9.54,6.75
c,59.21,13.13,0,0,5.74,0.7,14.35,10.14
c,65.48,12.44,0.47,0,2.95,0.93,10.54,7.45
c,96.96,14.97,0,0,4.76,1.38,11.41,8.07
c,86.75,14.42,1.85,0,5.16,0.4,10.65,7.53
c,92.29,13.84,0,0,3.83,1.28,8.36,5.91
c,91.8,15.97,2.77,0,4.87,1.93,14.56,10.29
c,72.55,11.84,1.9,0,5.71,1.22,13.26,9.38
c,91.51,13.92,0.51,0,4.05,2.78,10.52,7.44
c,77.13,10.09,0,0,2.29,0,11.93,8.44
c,93.17,15.6,0,0,4.79,0.35,15.42,10.9
c,86.01,13.05,0.44,0,3.62,2.08,11.33,8
c,89.47,13.82,0,0,5.92,0.99,11.84,8.37
l,99,13.95,0.87,0.29,3.78,1.16,15.14,10.71
l,97.19,14.51,2.1,0,4.9,0.87,17.71,12.52
l,96.29,16.55,0.35,0,5.24,1.59,12.78,9.04
l,91.71,15.42,0.82,0,7.82,2,16.39,11.59
l,90.5,13.42,0.66,0,4.28,0.44,15.32,10.83
l,88.92,13.34,0,0.08,4.9,0.68,14.58,10.31
l,94.28,14.11,0.25,0,4.37,2.62,17.65,12.48
l,95.18,15.47,0.06,0,5.17,0.35,11.77,8.32
l,87.84,13.59,0.52,0.07,8.78,1.37,16.86,11.92
l,96.15,16.67,0,0,5.79,1.07,10.72,7.58
l,95.59,13.82,0.17,0,6.83,0.85,16.56,11.71
l,87.58,15,3.73,0,4.08,0.43,12.18,8.61
l,90.71,14.9,0.88,0,6.15,0.88,13.17,9.31
l,91.75,16.46,1.4,0,5.25,0.88,20.42,14.44
l,74.05,12.63,0.18,0,4.72,0.62,12.51,8.85
l,70.3,12.25,3.56,0,5.14,1.19,14.1,9.97
l,96.24,15.6,3.71,0,4.75,1.93,15.56,11.71
l,98.14,16.72,1.4,0,4.72,0.64,14.87,10.52
l,94.78,14.84,2.58,0,6.45,1.94,18.58,13.14
l,96.12,13.68,1.95,0,6.68,0.81,13.09,9.25
l,94.02,15.9,0.12,0,3.89,0.47,12.3,8.7
l,87.3,13.31,0,0.1,5.5,1.93,10.94,7.74
l,91.98,13.9,0.13,0,4.42,1.7,12.22,8.64
l,93.51,14.82,0,0.07,7.59,0.58,16.08,11.37
